Container_ID,Name,CPU_percentage,Mem_usage,/,Mem_Limit,Mem_percentage,Net_I,/,Net_O,Block_I,/,Block_O,PIDS,Time_stamp
f131167c3e64,algorand-sandbox-indexer,0.00%,48.95MiB,/,7.668GiB,0.62%,56.4kB,/,87.4kB,0B,/,20.5kB,11,1686369130.495779
79c12d1fee8d,algorand-sandbox-algod,85.15%,178.9MiB,/,7.668GiB,2.28%,1.51MB,/,2.36MB,0B,/,315kB,24,1686369130.495779
44b46bdded1c,algorand-sandbox-postgres,0.15%,20.29MiB,/,7.668GiB,0.26%,83.3kB,/,23.8kB,0B,/,217kB,9,1686369130.495779
f131167c3e64,algorand-sandbox-indexer,0.78%,50.13MiB,/,7.668GiB,0.64%,70.5kB,/,116kB,0B,/,45.1kB,11,1686369132.5081139
79c12d1fee8d,algorand-sandbox-algod,85.80%,182.9MiB,/,7.668GiB,2.33%,1.78MB,/,2.78MB,0B,/,442kB,24,1686369132.5081139
44b46bdded1c,algorand-sandbox-postgres,0.45%,20.31MiB,/,7.668GiB,0.26%,111kB,/,28.9kB,0B,/,217kB,9,1686369132.5081139
f131167c3e64,algorand-sandbox-indexer,0.00%,50.13MiB,/,7.668GiB,0.64%,70.5kB,/,116kB,0B,/,45.1kB,11,1686369134.521481
79c12d1fee8d,algorand-sandbox-algod,51.64%,183MiB,/,7.668GiB,2.33%,1.92MB,/,3.01MB,0B,/,442kB,24,1686369134.521481
44b46bdded1c,algorand-sandbox-postgres,0.05%,20.31MiB,/,7.668GiB,0.26%,111kB,/,28.9kB,0B,/,217kB,9,1686369134.521481
f131167c3e64,algorand-sandbox-indexer,0.76%,51.23MiB,/,7.668GiB,0.65%,84.4kB,/,142kB,0B,/,65.5kB,11,1686369136.586964
79c12d1fee8d,algorand-sandbox-algod,30.37%,183MiB,/,7.668GiB,2.33%,2.01MB,/,3.16MB,0B,/,520kB,24,1686369136.586964
44b46bdded1c,algorand-sandbox-postgres,0.66%,20.46MiB,/,7.668GiB,0.26%,136kB,/,33.9kB,0B,/,217kB,9,1686369136.586964
f131167c3e64,algorand-sandbox-indexer,0.00%,46.73MiB,/,7.668GiB,0.60%,8.58kB,/,4.5kB,0B,/,0B,10,1686369141.130769
79c12d1fee8d,algorand-sandbox-algod,12.04%,69.2MiB,/,7.668GiB,0.88%,2.67kB,/,4.46kB,0B,/,164kB,22,1686369141.130769
44b46bdded1c,algorand-sandbox-postgres,0.13%,18.31MiB,/,7.668GiB,0.23%,2.84kB,/,2.63kB,0B,/,28.7kB,8,1686369141.130769
f131167c3e64,algorand-sandbox-indexer,0.00%,47.05MiB,/,7.668GiB,0.60%,18.4kB,/,18.1kB,0B,/,0B,10,1686369143.15669
79c12d1fee8d,algorand-sandbox-algod,21.37%,87.35MiB,/,7.668GiB,1.11%,10.6kB,/,16.1kB,0B,/,164kB,25,1686369143.15669
